criterion_id,legacy_id,axis,category,name,fires_when,source_module,source_field,config_field,threshold_value,secondary_config_fields,comparison,none_conditions,orf_type_handling,provisional,dist_min,dist_q1,dist_median,dist_q3,dist_max
C1_primate_conservation,E1,existence,Conservation,"Primate conservation (mean AA %identity, unique region)",primate_mean_pident >= 0.8,conservation_frame,primate_mean_pident,c1_pident_min,0.8,,"val >= c1_pident_min -> True; else False. primate_frac_intact appears in the reason string only — primate_frac_intact_min (0.5) is display context, not a score lever",conservation_frame not run (status not ok) or primate_mean_pident is None,unique region = isoform_orf minus canonical_orf; TRUNCATED flips to canonical_orf minus isoform_orf. Empty unique region -> status='no_unique_region' -> None,True,0.0,0.8942,0.96,0.99,1.0
C2_mammalian_conservation,E2,existence,Conservation,"Mammalian conservation (mean AA %identity, unique region)",mammalian_mean_pident >= 0.5,conservation_frame,mammalian_mean_pident,c2_pident_min,0.5,,"val >= c2_pident_min -> True; else False. mammalian_frac_intact_min (0.3) is display context, not a score lever",conservation_frame not run or mammalian_mean_pident is None,same unique-region flip as C1 (TRUNCATED reads canonical space),True,0.0,0.7318,0.8881,0.9632,1.0
C3_phylop_coding_selection,E3,existence,Conservation,PhyloP purifying selection over unique region,phylop_unique_region_mean >= 2.0,conservation,phylop_unique_region_mean,c3_phylop_min,2.0,,"val >= c3_phylop_min -> True; else False. Absolute mean PhyloP, NOT a unique-vs-shared ratio; phylop_enrichment is reason-string context only. Legacy phylop_coding_min (1.0) is unused","conservation not run, summary.region_status != 'ok' (note: region_status, not the generic status), or value None",same unique-region flip as C1; missing orf_exons/canonical_orf_exons -> region_status='no_skeleton' -> None,False,-7.5147,1.7549,3.554,4.688,8.4393
D1_multi_cell_line,E4,existence,Detection,Multi-cell-line reproducibility,n_cell_lines >= 3,(site.expression),len(site.expression),min_cell_lines,3,,n_cell_lines >= min_cell_lines -> True; else False (NEVER None). Counts cell lines only — no p-value or CPM filter is applied here,"never None (always evaluable); degenerate when min_cell_lines == 1 (True for every TIS by construction, a constant +1 on the existence score)","symmetric (expression-based, no ORF-type dependence)",False,1.0,1.0,1.0,2.0,6.0
D2_initiation_efficiency,E5,existence,Detection,Ribosome initiation efficiency (best across cell lines),max(initiation_efficiency) >= 0.01,(site.expression),max(exp.initiation_efficiency),initiation_efficiency_min,0.01,,"best >= initiation_efficiency_min -> True; else False (max, not mean)",no cell line carries an initiation_efficiency value,"symmetric (expression-based, no ORF-type dependence)",False,0.0009,0.0107,0.0217,0.0526,220.0
D3_mass_spec,E6,existence,Detection,Mass-spec validated isoform-unique peptides (PepQuery2),n_validated_unique_peptides >= 1,massspec,count(hits: unique_to_isoform is True AND validated is True),massspec_unique_peptides_min,1,,"n_validated_unique >= massspec_unique_peptides_min -> True; else False. Strict 'is True' on both flags, so None (unknown) never counts. Digest literals are hardcoded: missed_cleavages=1, min_length=7, max_length=30","massspec not run, summary.pepquery_run falsy/absent (search not precomputed), or hits is not a list",extension: peptides overlapping the isoform diff region (junction peptide included); truncation: ONLY the pos==0 peptide (new start through first cleavage) — canonical-pane peptides are explicitly refused; uORF/uoORF/altORF/internal-OOF/3'UTR and unclassified: full digest. An NME (Met-excised) variant is added for any classified pos==0 peptide,False,0.0,0.0,0.0,0.0,9.0
L1_localization_change,F2,functional,Localization,Subcellular localization change (DeepLoc),any localization *_changed is True (no numeric cutoff),comparison.localization,any key ending in '_changed' (prediction/signals/membrane),,categorical (no cutoff),,"any *_changed is True -> True; keys present but none True -> False. The comparator emits changed=False when BOTH panes are missing, so a one-sided module failure reads as 'unchanged' rather than unevaluable. Continuous deeploc_top_prob / per-compartment probabilities are displayed but not scored",comparison.localization missing or no *_changed fields emitted,symmetric (whole-protein predictions on both panes),False,,,,,
L2_targeting_change,F4,functional,Localization,Signal/targeting-peptide change (SignalP + TargetP),any signalp/targetp *_changed is True (no numeric cutoff),comparison.signalp / comparison.targetp,any key ending in '_changed' across both modules,,categorical (no cutoff),,"any *_changed True across signalp/targetp -> True (one available source suffices); both sources None -> None; else False — which includes 'one ran and said no change, the other never ran'",both comparison.signalp and comparison.targetp missing / no *_changed keys,symmetric (whole-protein predictions on both panes),False,,,,,
M1_pathogenic_variant_enrichment,F5,functional,Mutation Landscape,Germline constraint / depletion in unique region (ESM-C + gnomAD),constraint_enrichment >= 2.0 OR gnomad_depletion_ratio < 0.8,plm_vep + variant_intersection,plm_vep.constraint_enrichment ; variant_intersection.gnomad_depletion_ratio,m1_constraint_enrichment_min,2.0,m1_depletion_ratio_max=0.8,"OR of two branches pointing opposite directions: constrained = constraint_enrichment >= m1_constraint_enrichment_min; depleted = gnomad_depletion_ratio < m1_depletion_ratio_max (strict <). Constraint counts only when plm_vep top-level status == 'ok'; depletion needs only a numeric ratio (NOT status-gated, unlike M2). CAVEAT: when only one input exists the other branch is silently False, so a single available signal can produce a False that reads like a tested negative. Dormant: m1_min_pathogenic_in_unique, m1_llr_damaging_threshold","ONLY when both inputs are missing (plm_vep status != ok AND no numeric depletion ratio). Ratios are None upstream when unique_nt<=0, shared_nt<=0, or shared density == 0 — so separate-ORF isoforms yield None","unique/shared genomic intervals flip for TRUNCATED; PLM region space uses canonical protein coords for truncations, isoform coords otherwise (Annotated -> 'none'). Semantically interpretable ONLY on truncations: an extension's unique region was never coding, so ESM-C is out of distribution",True,0.0009,0.7861,1.6283,3.3431,3609.789
M2_clinical_variant_overlap,F6,functional,Mutation Landscape,"Disease-variant density enrichment (ClinVar + COSMIC, unique vs shared)",disease_enrichment_ratio >= 1.0,variant_intersection,disease_enrichment_ratio,m2_disease_enrichment_min,1.0,,"ratio >= m2_disease_enrichment_min -> True; else False. Per-nt density, unique vs shared. The default is a zero-point (parity), not a calibrated cutoff. Raw n_disease_in_{unique,shared}_region are reason-string context",variant_intersection not run (summary status not ok) or ratio not numeric (zero region length / zero shared density),same unique/shared interval flip for TRUNCATED as M1; variants outside both coding regions are dropped before counting,False,0.0,0.4973,0.8965,1.1002,11.2087
