category,tag_id,proposed_label,test,source_metric,kind,stream,criterion_id,differential_hint,cutoff,current_cutoff,current_fire_pct,cutoff_source,cutoff_pctile,break_depth,valid_for,fire_pct,not_evaluable_pct,fire_pct_extended,not_evaluable_pct_extended,fire_pct_truncated,not_evaluable_pct_truncated,fire_pct_separate,not_evaluable_pct_separate,max_jaccard,nearest_tag,examples_on,examples_off,blocked,note,decision,reviewer_notes
C,c1_primate_conservation_isoform_conservation_frame_primate_mean_pident,Conserved in primates,isoform_conservation_frame_primate_mean_pident >= 0.975198,isoform_conservation_frame_primate_mean_pident,code,criterion,C1_primate_conservation,False,0.9751976737673632,0.8,92.7,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.01,0.56,7.43,0.0,53.3,0.0,13.48,8.11,0.0,,"AJUBA, APC, ATP9A","ACBD5, ADAR, ASPM",,,,
C,isoform_conservation_frame_mammalian_start_codon_conserved_lo,Start codon not conserved,isoform_conservation_frame_mammalian_start_codon_conserved < 0.341283,isoform_conservation_frame_mammalian_start_codon_conserved,code,sweep,,False,0.3412828947368421,,,break,11.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,10.6,0.62,32.69,0.2,2.2,0.02,22.06,8.11,0.008,c3_phylop_coding_selection_isoform_conservation_phylop_unique_region_mean,"AJUBA, CDC34, HSP90AA1","ACBD5, ADAR, APC",,,,
C,isoform_conservation_phastcons_at_tis_lo,Unconserved start site,isoform_conservation_phastcons_at_tis < 0.382812,isoform_conservation_phastcons_at_tis,code,sweep,,False,0.3828125,,,break,29.0,0.9948263118994828,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,28.75,0.0,71.82,0.0,12.95,0.0,43.02,0.0,0.288,isoform_conservation_frame_summary_tree_loaded,"ADAR, AJUBA, ASPM","ACBD5, APC, ATP9A",,,,
C,isoform_conservation_frame_summary_tree_loaded,Species tree loaded,isoform_conservation_frame_summary.tree_loaded is true,isoform_conservation_frame_summary.tree_loaded,bool,bool,,False,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,100.0,0.56,100.0,0.0,100.0,0.0,100.0,8.11,0.4,c1_primate_conservation_isoform_conservation_frame_primate_mean_pident,"ACBD5, ADAR, AJUBA",,,,remove,"[no variance] Fires on 100% of the corpus, so it separates nothing. A pipeline status flag or a condition that never occurs in human data."
C,isoform_conservation_phylop_at_tis_lo,Start site under drift,isoform_conservation_phylop_at_tis < 0,isoform_conservation_phylop_at_tis,code,sweep,,False,0.0,,,anchor,13.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,12.37,0.02,32.16,0.0,5.1,0.02,18.92,0.0,0.41,isoform_conservation_phastcons_kozak_mean_lo,"ADAR, EIF2B1, EIF2B1","ACBD5, AJUBA, APC",,,,
C,isoform_conservation_phastcons_unique_region_mean_lo,Unique region unconserved,isoform_conservation_phastcons_unique_region_mean < 0.352233,isoform_conservation_phastcons_unique_region_mean,code,sweep,,True,0.3522331524916926,,,break,25.0,0.8076923076923077,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,24.07,0.56,62.14,0.0,9.6,0.0,43.38,8.11,0.604,isoform_conservation_phastcons_kozak_mean_lo,"ADAR, ASPM, CDC34","ACBD5, AJUBA, APC",,,,
C,isoform_conservation_phastcons_kozak_mean_lo,Unconserved Kozak context,isoform_conservation_phastcons_kozak_mean < 0.195312,isoform_conservation_phastcons_kozak_mean,code,sweep,,False,0.1953125,,,break,22.0,0.9787234042553192,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,21.37,0.0,60.74,0.0,6.92,0.0,34.46,0.0,0.726,isoform_conservation_phastcons_at_tis_lo,"ADAR, AJUBA, ASPM","ACBD5, APC, ATP9A",,,,
C,c3_phylop_coding_selection_isoform_conservation_phylop_unique_region_mean,Unique region constrained,isoform_conservation_phylop_unique_region_mean >= 4.03184,isoform_conservation_phylop_unique_region_mean,code,criterion,C3_phylop_coding_selection,True,4.031841301492283,2.0,72.1,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.01,0.56,9.55,0.0,52.22,0.0,17.65,8.11,0.751,c2_mammalian_conservation_isoform_conservation_frame_mammalian_mean_pident,"ACBD5, AJUBA, APC","ADAR, ASPM, CBX1",,"phyloP is signed: positive = conserved, negative = accelerated. The scorer reads c3_phylop_min (2.0); phylop_coding_min (1.0) is the looser descriptive band the tile labels with, not a score lever.",,
C,c2_mammalian_conservation_isoform_conservation_frame_mammalian_mean_pident,Conserved in mammals,isoform_conservation_frame_mammalian_mean_pident >= 0.925531,isoform_conservation_frame_mammalian_mean_pident,code,criterion,C2_mammalian_conservation,False,0.9255313890261988,0.5,95.83,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.01,0.56,7.03,0.0,53.61,0.0,11.52,8.11,0.795,c1_primate_conservation_isoform_conservation_frame_primate_mean_pident,"AJUBA, APC, ATP9A","ACBD5, ADAR, ASPM",,,,
D,isoform_massspec_hits_len_lo,No mass-spec peptides,isoform_massspec_hits__len < 0.609375,isoform_massspec_hits__len,code,sweep,,False,0.609375,,,break,17.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,16.11,0.0,5.57,0.0,20.71,0.0,5.18,0.0,0.169,c2_mammalian_conservation_isoform_conservation_frame_mammalian_mean_pident,"ATP9A, CBX5, CDC34","ACBD5, ADAR, AJUBA",,,remove,"[absence of evidence] Fires when the hit list is EMPTY. It conflates 'the module ran and found nothing' with 'the module never ran', and makes missing data look like a finding."
